,name,text,date
6,Terry Jones," Oh if I may suggest, sir ... the pheasant à la 
            reine, the sauce is one of the chefs most famous creations. ",1969-10-19 14:49:24
7,Graham Chapman," Em... that sounds good. Anyway just have a look... 
            take your time. Oh, er by the way - got a bit of a dirty fork, could 
            you ... er·.. get me another one? ",1969-10-19 15:10:32
8,Terry Jones, I beg your pardon. ,1969-10-19 16:04:13
9,Graham Chapman," Oh it's nothing ... er, I've got a fork a little bit 
            dirty. Could you get me another one? Thank you. ",1969-10-19 16:07:08
10,Terry Jones," Oh ... sir, 1 do apologize. ",1969-10-19 16:31:16
11,Graham Chapman," Oh, no need to apologize, it doesn't worry me. ",1969-10-19 16:38:06
12,Terry Jones," Oh no, no, no, I do apologize. I will fetch the 
            head waiter immediatement. ",1969-10-19 17:32:37
13,Graham Chapman," Oh, there's no need to do that! ",1969-10-19 18:53:11
14,Terry Jones," Oh, no no... I'm sure the head waiter, he will 
            want to apologize to you himself. I will fetch him at once. ",1969-10-19 18:57:29
16,Graham Chapman, They really look after you... yes. ,1969-10-19 21:08:34
17,Michael Palin, Excuse me monsieur and madame. ,1969-10-19 21:40:00
18,Graham Chapman," Oh, no, no. ",1969-10-19 22:51:26
19,Michael Palin," Better still, we can't afford to take any 
            chances, sack the entire washing-up staff. ",1969-10-19 23:11:29
20,Graham Chapman," No, look I don't want to make any trouble. ",1969-10-20 01:42:29
21,Michael Palin," Oh, no please, no trouble. It's quite right 
            that you should point these kind of things out. Gaston, tell the 
            manager what has happened immediately! ",1969-10-20 01:57:00
22,Graham Chapman," Oh, no I don't want to cause any fuss. ",1969-10-20 02:27:59
23,Michael Palin," Please, it's no fuss. I quite simply wish to 
            ensure that nothing interferes with your complete enjoyment of the 
            meal. ",1969-10-20 02:46:11
24,Graham Chapman," Oh I'm sure it won't, it was only a dirty fork. ",1969-10-20 03:34:14
25,Michael Palin," I know. And I'm sorry, bitterly sorry, but I 
            know that... no apologies I can make can alter the fact that in our 
            restaurant you have been given a dirty, filthy, smelly piece of 
            cutlery... ",1969-10-20 04:20:58
26,Graham Chapman, It wasn't smelly. ,1969-10-20 04:37:28
27,Michael Palin," It was smelly, and obscene and disgusting and 
            I hate it, I hate it ,.. nasty, grubby, dirty, mingy, scrubby little 
            fork. Oh ... oh . . . oh . . . ",1969-10-20 04:47:04
28,Eric Idle," Good evening, sir, good evening, madam. I am the 
            manager. I've only just heard . .. may I sit down? ",1969-10-20 05:19:25
29,Graham Chapman," Yes, of course. ",1969-10-20 05:36:01
30,Eric Idle," I want to apologize, humbly, deeply, and 
            sincerely about the fork. ",1969-10-20 06:45:28
31,Graham Chapman," Oh please, it's only a tiny bit... I couldn't see it.
            ",1969-10-20 10:16:57
32,Eric Idle," Ah you're good kind fine people, for saying that, 
            but I can see it.., to me it's like a mountain, a vast bowl of pus.
            ",1969-10-20 10:39:08
33,Graham Chapman, It's not as bad as that. ,1969-10-20 18:56:24
34,Eric Idle," It gets me here. I can't give you any excuses for 
            it - there are no excuses. I've been meaning to spend more time in 
            the restaurant recently, but I haven't been too well ,.. ",1969-10-20 19:52:54
35,Graham Chapman, Can I get you some water? ,1969-10-20 20:47:12
36,Eric Idle, ,1969-10-20 21:36:53
37,John Cleese, ,1969-10-21 00:18:16
38,Michael Palin," Easy, Mungo, easy... Mungo... ",1969-10-21 04:20:46
39,Eric Idle, This is the end! The end! Aaargh!! ,1969-10-21 07:21:56
40,John Cleese," They've destroyed him! He's dead!! They killed 
            him!!! ",1969-10-21 07:53:00
41,Michael Palin, ,1969-10-21 08:15:16
42,Graham Chapman, Lucky we didn't say anything about the dirty knife...,1969-10-21 08:24:58
0,John Cleese," Good evening, here is the 6 o'clock News read 
            by Michael Queen. It's been a quiet day over most of the country as 
            people went back to work after the warmest July weekend for nearly a 
            year. The only high spot of the weekend was the meeting between 
            officials of the NEDC and the ODCN in Bradford today. ",1969-10-21 09:05:45
1,John Cleese, ,1969-10-21 10:35:49
2,John Cleese, ,1969-10-21 10:52:56
3,John Cleese, ,1969-10-21 12:24:36
4,John Cleese, ,1969-10-21 12:41:39
0,John Cleese," Eric ... do you think you could 
            recognize a larch tree?",1969-10-21 13:11:50
1,Eric Idle, ,1969-10-21 13:50:35
2,John Cleese, What's your name?,1969-10-21 14:27:48
3,Michael Palin, Michael.,1969-10-21 15:41:47
4,John Cleese," Michael, do you think you know what 
            a larch tree looks like?",1969-10-21 15:44:45
5,Michael Palin, ,1969-10-21 16:44:18
6,Terry Jones, Bottom!,1969-10-21 17:25:47
7,John Cleese," Are there any other trees that any 
            of you think you could recognize from quite a long way away?",1969-10-21 18:11:30
8,Terry Jones," I ... want... to see a sketch of Eric's 
            please...",1969-10-21 19:28:30
9,John Cleese, What?,1969-10-21 21:22:39
10,Terry Jones," I want to see a sketch of Eric's. Nudge 
            Nudge.",1969-10-21 21:25:08
11,John Cleese, A sketch?,1969-10-22 00:27:27
12,Terry Jones, Eric's written...,1969-10-22 01:29:51
13,Eric Idle, I written a sketch.,1969-10-22 02:22:48
14,Michael Palin," Nudge nudge, Eric's written ...",1969-10-22 03:16:29
15,Eric Idle," Nudge nudge..., nudge... nudge...",1969-10-22 03:20:57
0,Eric Idle," 'Evening, squire!",1969-10-22 04:58:55
1,Terry Jones, (stiffly) Good evening.,1969-10-22 05:03:16
2,Eric Idle," Is, uh,...Is your wife a goer, eh? Know 
            whatahmean, know whatahmean, nudge nudge, know whatahmean, say no 
            more?",1969-10-22 05:30:59
3,Terry Jones," I, uh, I beg your pardon?",1969-10-22 07:26:22
4,Eric Idle," Your, uh, your wife, does she go, eh, does 
            she go, eh?",1969-10-22 09:39:52
5,Terry Jones," (flustered) Well, she sometimes ""goes"", 
            yes.",1969-10-22 12:19:23
6,Eric Idle," Aaaaaaaah bet she does, I bet she does, say 
            no more, say no more, knowwhatahmean, nudge nudge?",1969-10-22 13:18:16
7,Terry Jones," (confused) I'm afraid I don't quite 
            follow you.",1969-10-22 13:40:26
8,Eric Idle," Follow me. Follow me. That's good, that's 
            good! A nod's as good as a wink to a blind bat!",1969-10-22 15:55:40
9,Terry Jones," Are you, uh,...are you selling 
            something?",1969-10-22 17:25:10
10,Eric Idle," SELLING! Very good, very good! Ay? Ay? Ay?
            ",1969-10-22 17:30:02
11,Terry Jones," Well, I, uh....",1969-10-22 17:42:50
12,Eric Idle," Is, your uh, is your wife a sport, ay?",1969-10-22 18:01:47
13,Terry Jones," Um, she likes sport, yes!",1969-10-22 19:41:27
14,Eric Idle," I bet she does, I bet she does!",1969-10-22 19:46:16
15,Terry Jones," As a matter of fact she's very fond of 
            cricket.",1969-10-22 19:52:10
16,Eric Idle," 'Oo isn't? Likes games, eh? Knew she would. 
            Likes games, eh? She's been around a bit, been around?",1969-10-22 20:44:08
17,Terry Jones," She has traveled, yes. She's from 
            Scarsdale. ",1969-10-22 21:06:07
18,Eric Idle, SAY NO MORE!!,1969-10-22 21:21:44
19,Eric Idle," Scarsdale, saynomore, saynomore, saynomore, 
            squire!",1969-10-22 21:22:39
20,Terry Jones, I wasn't going to!,1969-10-22 21:42:45
21,Eric Idle," Oh! Well, never mind. Dib dib? Is your uh, 
            is your wife interested in....photography, ay? ""Photographs, ay"", he 
            asked him knowingly?",1969-10-22 22:01:43
22,Terry Jones, Photography?,1969-10-22 23:31:37
23,Eric Idle," Snap snap, grin grin, wink wink, nudge 
            nudge, say no more?",1969-10-23 00:38:40
24,Terry Jones," Holiday snaps, eh?",1969-10-23 00:44:42
25,Eric Idle," They could be, they could be taken on 
            holiday. Candid, you know, CANDID photography?",1969-10-23 04:11:37
26,Terry Jones," No, no I'm afraid we don't have a 
            camera.",1969-10-23 04:32:27
27,Eric Idle," Oh. (leeringly) Still, mooooooh, ay? 
            Mwoohohohohoo, ay? Hohohohohoho, ay?",1969-10-23 05:12:53
28,Terry Jones, Look... are you insinuating something?,1969-10-23 07:23:59
29,Eric Idle," Oh, no, no, no...yes.",1969-10-23 08:56:56
30,Terry Jones, Well?,1969-10-23 08:57:33
31,Eric Idle," Well, you're a man of the world, squire.",1969-10-23 10:58:19
32,Terry Jones, Yes...,1969-10-23 11:31:09
33,Eric Idle," I mean, you've been around a bit, you know, 
            like, you've, uh.... You've ""done it""....",1969-10-23 12:51:15
34,Terry Jones, What do you mean?,1969-10-23 14:20:51
35,Eric Idle," Well, I mean like,....you've SLEPT, with a 
            lady....",1969-10-23 15:09:45
36,Terry Jones, Yes....,1969-10-23 15:14:27
37,Eric Idle, What's it like?,1969-10-23 20:15:46
0,Eric Idle, ,1969-10-23 21:27:32
1,Eric Idle," ... walk upon England's mountains green.
            ",1969-10-23 21:34:38
2,John Cleese," 'Allo, Marge!",1969-10-23 22:14:55
3,Graham Chapman," Oh hello, Janet, how are you love?",1969-10-23 22:54:17
4,John Cleese, Fancy seeing you! How's little Ralph?,1969-10-23 23:01:34
5,Graham Chapman," Oh, don't ask me! He's been nothing but 
            trouble all morning. Stop it Ralph! ",1969-10-23 23:29:15
6,John Cleese, Same as my Kevin.,1969-10-23 23:31:39
7,Graham Chapman, Really?,1969-10-23 23:33:12
8,John Cleese," Nothing but trouble ... leave it alone! 
            He's just been in the Florentine Room and smeared tomato ketchup all 
            over Raphael's Baby Jesus. ",1969-10-23 23:33:17
9,Graham Chapman," Well, we've just come from the Courtauld 
            and Ralph smashed every exhibit but one in the Danish Contemporary 
            Sculpture Exhibition.",1969-10-24 00:02:20
10,John Cleese," Just like my Kevin. Show him an 
            exhibition of early eighteenth-century Dresden Pottery and he goes 
            berserk. No, I said no, and I meant no! ",1969-10-24 02:20:42
11,Graham Chapman," Still it's not as bad as spitting is it?
            ",1969-10-24 03:11:33
12,John Cleese, ,1969-10-24 04:49:11
13,Graham Chapman," Ralph used to spit - he could hit a Van 
            Gogh at thirty yards. But he knows now it's wrong - don't you Ralph?
            ",1969-10-24 05:01:03
14,John Cleese, ,1969-10-24 06:13:06
15,Graham Chapman, Really?,1969-10-24 07:19:45
16,John Cleese," Yes take my word for it, Marge. Kevin's 
            eaten most of the early nineteenth-century British landscape 
            artists, and I've learnt not to worry. As a matter of fact, I feel a 
            bit peckish myself. ",1969-10-24 07:45:27
17,Graham Chapman, I never used to like Turner.,1969-10-24 08:50:48
18,John Cleese, ,1969-10-24 09:45:09
19,Michael Palin, ,1969-10-24 11:41:57
21,Michael Palin, What a terrible joke.,1969-10-24 14:24:39
23,Michael Palin, ,1969-10-24 16:07:25
24,Michael Palin," Oh, that's typical. Talk talk talk. 
            Natter natter natter!",1969-10-24 16:24:48
25,Eric Idle, ,1969-10-24 16:29:15
0,Graham Chapman," Right, cut to me. As Officer Commanding the 
            Regular Army's Advertising Division, I object, in the strongest 
            possible terms to this obvious reference to our own slogan 'It's a 
            dog's life ... ",1969-10-24 16:58:26
2,Graham Chapman," Quiet. Quiet. Now wait a minute. I have already 
            warned this program about infringing the Army copyright of our 
            slogan 'It's a pig's life... man's life in the modern army'. And I'm 
            warning you if it happens again, I shall come down on this program 
            like a ton of bricks... right. Carry on sergeant major.",1969-10-24 19:28:27
0,Graham Chapman," get some discipline into those chaps, Sergeant 
            Major!",1969-10-24 20:23:30
1,John Cleese, ,1969-10-24 20:23:45
2,John Cleese," Where's all the others, then?",1969-10-24 21:07:45
3,John Cleese, I can see that. What's the matter with them?,1969-10-24 22:23:58
4,John Cleese, Perhaps they've got 'flu.,1969-10-24 22:27:46
5,John Cleese," Huh! 'Flu, eh? They should eat more fresh fruit. 
            Ha. Right. Now, self-defense. Tonight I shall be carrying on from 
            where we got to last week when I was showing you how to defend 
            yourselves against anyone who attacks you with armed with a piece of 
            fresh fruit.",1969-10-24 23:13:06
6,John Cleese," Oh, you promised you wouldn't do fruit this week.",1969-10-24 23:14:50
7,John Cleese, What do you mean?,1969-10-25 00:17:14
8,John Cleese, We've done fruit the last nine weeks.,1969-10-25 00:23:44
9,John Cleese," What's wrong with fruit? You think you know it 
            all, eh?",1969-10-25 01:06:15
10,John Cleese, Can't we do something else?,1969-10-25 01:31:34
11,John Cleese," Like someone who attacks you with a pointed 
            stick?",1969-10-25 02:03:36
12,John Cleese," Pointed stick? Oh, oh, oh. We want to learn how 
            to defend ourselves against pointed sticks, do we? Getting all high 
            and mighty, eh? Fresh fruit not good enough for you eh? Well I'll 
            tell you something my lad. When you're walking home tonight and some 
            great homicidal maniac comes after you with a bunch of loganberries, 
            don't come crying to me! Now, the passion fruit. When your assailant 
            lunges at you with a passion fruit...",1969-10-25 04:58:51
13,John Cleese, What?,1969-10-25 05:22:50
14,John Cleese, We done the passion fruit.,1969-10-25 06:25:11
15,John Cleese," We done oranges, apples, grapefruit...",1969-10-25 07:14:59
16,John Cleese, Whole and segments.,1969-10-25 07:32:20
17,John Cleese," Pomegranates, greengages...",1969-10-25 09:55:31
18,John Cleese," Grapes, passion fruit...",1969-10-25 09:59:36
19,John Cleese, Lemons...,1969-10-25 11:54:46
20,John Cleese, Plums...,1969-10-25 14:02:13
21,John Cleese, Mangoes in syrup...,1969-10-25 14:17:15
22,John Cleese, How about cherries?,1969-10-25 14:22:30
23,John Cleese, Red *and* black?,1969-10-25 15:18:00
24,John Cleese," All right, bananas.",1969-10-25 15:46:34
25,John Cleese," We haven't done them, have we? Right. Bananas. 
            How to defend yourself against a man armed with a banana. Now you, 
            come at me with this banana. Catch! Now, it's quite simple to defend 
            yourself against a man armed with a banana. First of all you force 
            him to drop the banana; then, second, you eat the banana, thus 
            disarming him. You have now rendered him 'elpless.",1969-10-25 16:20:44
26,John Cleese, Suppose he's got a bunch.,1969-10-25 16:59:15
27,John Cleese, Shut up.,1969-10-25 17:06:05
28,John Cleese, Suppose he's got a pointed stick.,1969-10-25 18:50:25
29,John Cleese," Shut up. Right now you, Mr. Apricot.",1969-10-25 19:31:12
30,John Cleese, 'Arrison.,1969-10-25 21:34:04
31,John Cleese," Sorry, Mr. 'Arrison. Come at me with that 
            banana. Hold it like that, that's it. Now attack me with it. Come 
            on! Come on! Come at me! Come at me then! ",1969-10-25 21:37:12
32,John Cleese, Aaagh! ,1969-10-25 22:01:53
33,John Cleese," Now, I eat the banana. ",1969-10-25 22:13:04
34,John Cleese, You shot him!,1969-10-25 22:33:43
35,John Cleese, He's dead!,1969-10-25 22:49:46
36,John Cleese, He's completely dead!,1969-10-25 23:41:33
37,John Cleese," I have now eaten the banana. The deceased, Mr. 
            Apricot, is now 'elpless.",1969-10-26 00:09:29
38,John Cleese, You shot him. You shot him dead.,1969-10-26 00:29:53
39,John Cleese," Well, he was attacking me with a banana.",1969-10-26 01:27:18
40,John Cleese, But you told him to.,1969-10-26 02:05:58
41,John Cleese," Look, I'm only doing me job. I have to show you 
            how to defend yourselves against fresh fruit.",1969-10-26 02:21:11
42,John Cleese, And pointed sticks.,1969-10-26 02:22:15
43,John Cleese, Shut up.,1969-10-26 02:23:11
44,John Cleese," Suppose I'm attacked by a man with a banana and I 
            haven't got a gun?",1969-10-26 03:10:04
45,John Cleese, Run for it.,1969-10-26 03:41:23
46,John Cleese, You could stand and scream for help.,1969-10-26 04:36:22
47,John Cleese," Yeah, you try that with a pineapple down your 
            windpipe.",1969-10-26 04:42:42
48,John Cleese, A pineapple?,1969-10-26 05:04:20
49,John Cleese, Where? Where?,1969-10-26 05:19:44
50,John Cleese, No I just said: a pineapple.,1969-10-26 05:25:33
51,John Cleese, Oh. Phew. I thought my number was on that one.,1969-10-26 07:02:08
52,John Cleese," What, on the pineapple?",1969-10-26 07:20:28
53,John Cleese, Where? Where?,1969-10-26 07:53:06
54,John Cleese," No, I was just repeating it.",1969-10-26 09:43:24
55,John Cleese," Oh. Oh. I see. Right. Phew. Right that's bananas 
            then. Now the raspberry. There we are. 'Armless looking thing, isn't 
            it? Now you, Mr. Tin Peach.",1969-10-26 10:05:24
56,John Cleese, Thompson.,1969-10-26 10:12:57
57,John Cleese," Thompson. Come at me with that raspberry. Come 
            on. Be as vicious as you like with it.",1969-10-26 10:25:51
58,John Cleese, No.,1969-10-26 12:40:15
59,John Cleese, Why not?,1969-10-26 12:55:52
60,John Cleese, You'll shoot me.,1969-10-26 14:52:45
61,John Cleese, I won't.,1969-10-26 15:28:38
62,John Cleese, You shot Mr. Harrison.,1969-10-26 16:01:48
63,John Cleese," That was self-defense. Now come on. I promise I 
            won't shoot you.",1969-10-26 16:03:44
64,John Cleese, You promised you'd tell us about pointed sticks.,1969-10-26 16:52:42
65,John Cleese," Shut up. Come on, brandish that raspberry. Come 
            at me with it. Give me Hell.",1969-10-26 21:58:08
66,John Cleese, Throw the gun away.,1969-10-26 21:59:44
67,John Cleese, I haven't got a gun.,1969-10-26 23:24:30
68,John Cleese, You have.,1969-10-26 23:40:45
69,John Cleese, Haven't.,1969-10-27 00:03:30
70,John Cleese, You shot Mr. 'Arrison with it.,1969-10-27 00:09:39
71,John Cleese," Oh, that gun.",1969-10-27 00:10:13
72,John Cleese, Throw it away.,1969-10-27 02:32:36
73,John Cleese," Oh all right. How to defend yourself against a 
            redcurrant -- without a gun.",1969-10-27 05:00:42
74,John Cleese, You were going to shoot me!,1969-10-27 06:44:16
75,John Cleese, I wasn't.,1969-10-27 07:31:28
76,John Cleese, You were!,1969-10-27 08:03:48
77,John Cleese," No, I wasn't, I wasn't. Come on then. Come at 
            me. Come on you weed! You weed, do your worst! Come on, you puny 
            little man. You weed...",1969-10-27 08:10:39
78,John Cleese, Aaagh.,1969-10-27 11:17:11
79,John Cleese," If anyone ever attacks you with a raspberry, 
            just pull the lever and the 16-ton weight will fall on top of him.",1969-10-27 13:15:44
80,John Cleese, Suppose there isn't a 16-ton weight?,1969-10-27 15:18:16
81,John Cleese," Well that's planning, isn't it? Forethought.",1969-10-27 15:25:14
82,John Cleese, Well how many 16-ton weights are there?,1969-10-27 15:50:04
83,John Cleese," Look, look, look, Mr. Knowall. The 16-ton weight 
            is just _one way_ of dealing with a raspberry killer. There are 
            millions of others!",1969-10-27 17:02:55
84,John Cleese, Like what?,1969-10-27 17:13:09
85,John Cleese, Shootin' him?,1969-10-27 17:22:53
86,John Cleese," Well what if you haven't got a gun or a 16-ton 
            weight?",1969-10-27 18:01:21
87,John Cleese," Look, look. All right, smarty-pants. You two, 
            you two, come at me then with raspberries. Come on, both of you, 
            whole basket each.",1969-10-27 18:09:32
88,John Cleese, No guns.,1969-10-27 18:17:58
89,John Cleese, No.,1969-10-27 18:44:48
90,John Cleese, No 16-ton weights.,1969-10-27 18:54:42
91,John Cleese, No.,1969-10-27 20:30:53
92,John Cleese, No pointed sticks.,1969-10-27 21:37:31
93,John Cleese, Shut up.,1969-10-27 22:31:24
94,John Cleese, No rocks up in the ceiling.,1969-10-27 22:33:04
95,John Cleese, No.,1969-10-27 23:18:01
96,John Cleese, And you won't kill us.,1969-10-27 23:22:33
97,John Cleese, I won't.,1969-10-28 00:17:18
98,John Cleese, Promise.,1969-10-28 02:15:39
99,John Cleese," I promise I won't kill you. Now. Are you going 
            to attack me?",1969-10-28 02:24:45
100,John Cleese," Right, now don't rush me this time. Stalk me. Do 
            it properly. Stalk me. I'll turn me back. Stalk up behind me, close 
            behind me, then in with the redcurrants! Right? O.K. start moving. 
            Now the first thing to do when you're being stalked by an ugly mob 
            with redcurrants is to -- release the tiger!",1969-10-28 02:39:03
101,John Cleese," The great advantage of the tiger in unarmed 
            combat is that he eats not only the fruit-laden foe but also the 
            redcurrants. Tigers however do not relish the peach. The peach 
            assailant should be attacked with a crocodile. Right, now, the rest 
            of you, where are you? I know you're hiding somewhere with your 
            damsons and prunes. Well I'm ready for you. I've wired meself up to 
            200 tons of gelignite, and if any one of you so much as makes a move 
            we'll all go up together! Right, right. I warned you. That's it...",1969-10-28 04:58:51
102,Eric Idle," And did those feet in ancient times, walk upon 
            England's mountains green... we'd like to alter the mood a little, 
            we'd like to bring you something for mum and dad, Annie, and Roger, 
            Mazarin and Louis and all at Versailles, it's a little number called 
            'England's Mountains Green'. Hope you like it. And did those feet in 
            ancient time ...",1969-10-28 06:45:08
103,John Cleese," (rustic accent) Yes, you know it's a man's life in 
            England's Mountain Green.",1969-10-28 08:06:19
104,Graham Chapman," Right I heard that, I heard that, I'm going to 
            stop this sketch now, and if there's any more of this, I'm going to 
            stop the whole program. I thought it was supposed to be about teeth 
            anyway. Why don't you do something about teeth - go on. ",1969-10-28 08:09:51
105,John Cleese," What about my rustic monologue? ... I'm not sleeping 
            with that producer again.",1969-10-28 09:11:30
0,John Cleese, Er... oh! ,1969-10-28 09:33:05
1,Eric Idle," Good morning, I'd like to buy a book please. ",1969-10-28 11:14:04
2,John Cleese," Oh, well I'm afraid we don't have any. ",1969-10-28 11:20:02
3,Eric Idle, I'm sorry? ,1969-10-28 11:32:08
4,John Cleese," We don't have any books. We're fresh out of 
            them. Good morning. ",1969-10-28 12:08:57
5,Eric Idle, Well what are all these? ,1969-10-28 12:38:00
6,John Cleese," All what? Oh! All these, ah ah ha ha. Your 
            referring to these ... books. ",1969-10-28 13:07:35
7,Eric Idle, Yes. ,1969-10-28 13:42:57
8,John Cleese," They're um ... they're all sold. Good morning.
            ",1969-10-28 16:17:12
9,Eric Idle, What all of them? ,1969-10-28 16:45:47
10,John Cleese," Every single man Jack of them. Not a single 
            one of them in an unsold state. Good morning. ",1969-10-28 17:17:01
11,Eric Idle, Who to? ,1969-10-28 17:28:50
12,John Cleese, What? ,1969-10-28 18:01:31
13,Eric Idle, Who are they sold to? ,1969-10-28 21:39:12
14,John Cleese," Oh ... various ... good Lord is that the time? 
            Oh my goodness I must close for lunch. ",1969-10-28 22:48:51
15,Eric Idle, It's only half past ten. ,1969-10-28 22:58:31
16,John Cleese," Ah yes, well I feel rather peckish ... very 
            peckish actually, I don't expect I'll open again today. I think I'll 
            have a really good feed. I say! Look at that lovely bookshop just 
            across the road there, they've got a much better selection than 
            we've got, probably at ridiculously low prices ... just across the 
            road there. ",1969-10-28 23:29:44
17,Eric Idle, But I was told to come here. ,1969-10-29 00:03:09
18,John Cleese, ,1969-10-29 00:21:52
19,Eric Idle, I'm sorry? ,1969-10-29 00:31:40
20,John Cleese," Er .,. oh . .. I was just saying ... thinking 
            of the weather.. I hear the gooseberries are doing well this year... 
            and so are the mangoes. ",1969-10-29 00:59:22
21,Eric Idle, Mine aren't· ,1969-10-29 01:33:34
22,John Cleese, ,1969-10-29 02:52:12
23,Eric Idle, What? ,1969-10-29 04:12:32
24,John Cleese, Go on - mine aren't ... but... ,1969-10-29 04:17:43
25,Eric Idle, What? ,1969-10-29 04:19:12
26,John Cleese," Aren't you going to say something about 'mine 
            aren't but the Big Cheese gets his at low tide tonight'? ",1969-10-29 05:20:14
27,Eric Idle, No. ,1969-10-29 05:54:59
28,John Cleese," Oh, ah, good morning, ",1969-10-29 06:33:19
29,Eric Idle, The little old lady in the sweet shop. ,1969-10-29 06:42:36
30,John Cleese," She didn't have a dueling scar just here ... 
            and a hook? ",1969-10-29 07:40:42
31,Eric Idle, No. ,1969-10-29 07:43:02
32,John Cleese," Of course not, I was thinking of somebody 
            else. Good morning. ",1969-10-29 08:26:14
33,Eric Idle," Wait a minute, there's something going on here.
            ",1969-10-29 08:30:31
34,John Cleese, ,1969-10-29 08:33:15
35,Eric Idle," No, but I think there's something going on here.
            ",1969-10-29 08:40:52
36,John Cleese," No no, well there's nothing going on here at 
            all ",1969-10-29 09:07:11
37,Eric Idle, ,1969-10-29 09:22:21
38,John Cleese," Look there is nothing going on. Please believe 
            me, there is abso... ",1969-10-29 11:58:03
40,John Cleese, See there's nothing going on. ,1969-10-29 12:29:15
41,Eric Idle, Who was that? ,1969-10-29 12:59:32
42,John Cleese," That was my aunt, look what was this book you 
            wanted then? Quickly! Quickly! ",1969-10-29 13:53:20
43,Eric Idle," Oh, well, I'd like to buy a copy of an 
            'Illustrated History of False Teeth'. ",1969-10-29 14:15:51
44,John Cleese, My God you've got guts. ,1969-10-29 16:24:43
45,Eric Idle, What? ,1969-10-29 16:45:26
46,John Cleese, ,1969-10-29 18:02:00
47,Eric Idle, What about? ,1969-10-29 18:26:13
48,John Cleese," Are you from the British Dental Association?
            ",1969-10-29 19:16:16
49,Eric Idle, No I'm a tobacconist. ,1969-10-29 21:28:43
50,John Cleese, Get away from that door. ,1969-10-29 21:53:07
51,Eric Idle, I'll just go over the other... ,1969-10-29 22:23:14
52,John Cleese," Stay where you are. You'll never leave this 
            bookshop alive. ",1969-10-29 22:42:19
53,Eric Idle, Why not? ,1969-10-29 23:02:38
54,John Cleese," You know too much, my dental friend. ",1969-10-29 23:50:00
55,Eric Idle, I don't know anything. ,1969-10-30 01:19:00
56,John Cleese, Come clean. You're a dentist aren't you. ,1969-10-30 01:51:25
57,Eric Idle," No, I'm a tobacconist. ",1969-10-30 02:58:12
58,John Cleese," A tobacconist who just happens to be buying a 
            book on ...teeth? ",1969-10-30 04:27:00
59,Eric Idle, Yes. ,1969-10-30 04:53:14
60,John Cleese, Ha ha ha ha... ,1969-10-30 05:07:47
61,Michael Palin," Drop that gun, Stapleton. ",1969-10-30 07:11:37
62,John Cleese, Lafrage! ,1969-10-30 07:27:38
63,Eric Idle, There is something going on. ,1969-10-30 07:28:06
64,John Cleese, No there isn't. ,1969-10-30 07:59:17
65,Michael Palin," OK Stapleton, this is it. Where's Mahoney hidden 
            the fillings? ",1969-10-30 09:25:16
66,John Cleese, What fillings? ,1969-10-30 10:09:52
67,Michael Palin," You know which fillings, Stapleton. Upper right 
            two and four, lower right three and two lower left one. Come on. ",1969-10-30 10:35:02
68,Eric Idle, What happened to Nigel? ,1969-10-30 11:31:24
69,John Cleese," Orthodontic Jake gave him a gelignite mouth 
            wash. ",1969-10-30 11:36:37
70,Eric Idle, I knew there was something going on. ,1969-10-30 13:12:00
71,John Cleese, Well there isn't. ,1969-10-30 14:34:12
72,Michael Palin, Come on Stapleton. The fillings! ,1969-10-30 15:04:37
73,John Cleese, They're at 22 Wimpole Street. ,1969-10-30 16:27:27
74,Michael Palin, Don't play games with me! ,1969-10-30 16:35:56
75,John Cleese," Oh, oh, 22a Wimpole Street. ",1969-10-30 18:16:46
76,Michael Palin, That's better. ,1969-10-30 19:27:20
77,John Cleese, But you'll need an appointment. ,1969-10-30 19:41:30
78,Michael Palin, OK ,1969-10-30 20:38:33
80,Michael Palin, Van der Berg! ,1969-10-30 21:00:57
82,Eric Idle, There is something going on. ,1969-10-30 21:31:57
83,John Cleese, No there isn't. ,1969-10-31 01:34:32
85,Eric Idle, Who's that? ,1969-10-31 02:27:18
86,John Cleese, That's Van der Berg. He's on our side. ,1969-10-31 02:53:12
88,John Cleese, Me? ,1969-10-31 09:24:55
90,John Cleese, You dirty double-crossing rat. ,1969-10-31 10:51:30
91,Eric Idle, ,1969-10-31 11:55:19
92,John Cleese, He's two-timed me. ,1969-10-31 12:07:26
93,Eric Idle, Bad luck. ,1969-10-31 13:42:54
95,Eric Idle, This is quite exciting. ,1969-10-31 14:23:12
96,Terry Jones, Not so fast. ,1969-10-31 15:23:24
97,Eric Idle," Ooh, what's that? ",1969-10-31 16:06:31
98,Terry Jones," All right. Get against the wall Van der Berg ... 
            and you nurse. And the first one to try anything moves to a practice 
            six feet underground ... this is an anti-tank gun ... and it's 
            loaded ...and you've just got five seconds to tell me ... whatever 
            happened to Baby Jane? ",1969-10-31 16:48:38
99,Terry Jones," Oh ... I'm sorry ... my mind was wandering ... I've 
            had a terrible day... I really have ... you've got five seconds to 
            tell me... I've forgotten. I've forgotten. ",1969-10-31 17:12:11
100,John Cleese," The five seconds haven't started yet have 
            they? ",1969-10-31 17:32:37
102,Eric Idle, Was it about Vogler? ,1969-10-31 18:08:18
103,Terry Jones," No, no... no ... you've got five seconds to tell 
            me... ",1969-10-31 18:21:41
105,Terry Jones, No. ,1969-10-31 18:46:47
